,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BedroomAbvGr,GarageCars,NbrhoodMultiplier,TotalBaths,LotArea,BsmtUnfSF,GrLivArea,HPI,BsmtFinSF,IrregularLot,CornerLot,CulDeSac,BadLocation,NeedExterRepair,NeedBsmtRepair,HasWalkoutBsmt,NeedHeatReplace,NoAC,NeedElectricUpgrade,HasMultiKitchens,HasHighEndKitchen,NeedGeneralRepair,HasFireplace,NeedGarageRepair,HasDeck,HasPorch,HasEnclPorch,Has3SeasonRoom,HasScreenPorch,HasPool,HasShed,Id,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,BldgTypeSimple_1Fam,BldgTypeSimple_multifam,SaleCondSimple_Abnormal,SaleCondSimple_Normal,SaleCondSimple_Partial,SalePrice
0,7,5,2003,2003,3,2,98.0,3.5,9.04204005654,150,7.44483327389,208.79,706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2476991164
1,5,5,1965,1965,3,1,101.0,2.0,9.32375833901,134,6.94793706861,208.79,906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.7714438821
2,6,6,1977,1977,3,2,99.0,2.5,9.22286165253,276,7.15461535691,208.79,920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0523443765
3,5,6,1940,1955,2,1,102.0,1.0,8.83942160762,212,6.65801104587,208.79,528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,269,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.6994133306
4,5,5,1954,1954,2,2,99.0,1.0,9.98741501247,988,6.89669433162,208.79,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.6351519472
5,7,5,2005,2005,3,2,101.0,2.5,9.19054574465,466,7.47816969416,208.79,400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,502,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.3313872476
6,7,5,2007,2007,2,2,101.0,2.0,8.19007704972,689,7.23921497378,208.79,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,579,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.89136875
7,7,6,1931,2000,3,1,106.0,1.5,8.88197518425,776,7.31521838975,208.79,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,658,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.9117082963
8,5,5,1994,1995,3,2,98.0,1.5,9.13194630455,304,6.89871453433,208.79,686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.8844959179
9,7,5,2004,2005,3,2,97.0,3.5,9.64114828776,64,7.30720231476,208.79,724,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1225,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.1226964714
10,6,8,1976,1976,3,2,98.0,2.5,9.1696225387,284,7.14124512235,217.95,978,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.1090164423
11,6,5,1997,1997,3,2,98.0,3.5,9.14184737553,176,7.48829351516,217.95,648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.2295498857
